not_churn,churn,label
0.8868556233630775,0.11314437663692244,0
0.7508237988508178,0.24917620114918218,0
0.7547518518105755,0.24524814818942453,0
0.6204342981360683,0.3795657018639317,0
0.7018343294086198,0.2981656705913802,0
0.5411496064244183,0.45885039357558166,0
0.6949316018824906,0.3050683981175094,0
0.3583886850985084,0.6416113149014916,0
0.48622739275498716,0.5137726072450128,0
0.2946218972942959,0.7053781027057041,1
0.7119212488522189,0.2880787511477811,0
0.20709850619383363,0.7929014938061664,0
0.7421184457799124,0.2578815542200876,0
0.6603145672340914,0.33968543276590857,0
0.5760550110649343,0.42394498893506577,0
0.9063410543884882,0.09365894561151178,0
0.8503354253301922,0.14966457466980776,0
0.19963017727385635,0.8003698227261437,0
0.24842116249784352,0.7515788375021565,0
0.9217982509460838,0.07820174905391622,0
0.6236218972134342,0.37637810278656575,0
0.7434403134179481,0.25655968658205186,0
0.3539549542520568,0.6460450457479432,0
0.49863275868746515,0.5013672413125349,0
0.5156018516966379,0.4843981483033621,0
0.8642134907850842,0.1357865092149157,0
0.72055616117496,0.2794438388250399,0
0.7089621239994441,0.29103787600055586,0
0.33985090897699266,0.6601490910230073,0
0.4956322469338752,0.5043677530661248,0
0.6736375069630806,0.32636249303691944,0
0.41361135397051396,0.586388646029486,0
0.2006629222434978,0.7993370777565022,1
0.34654605515309533,0.6534539448469047,1
0.8435369716938155,0.15646302830618453,0
0.11381638844675512,0.8861836115532449,0
0.7373514363821199,0.2626485636178802,0
0.09839908996551106,0.901600910034489,1
0.3597449237164082,0.6402550762835918,0
0.7535545973556748,0.24644540264432524,0
0.5075505170992858,0.4924494829007142,0
0.5521944439101845,0.4478055560898156,1
0.6384867298999166,0.3615132701000834,0
0.6205740216797282,0.37942597832027186,0
0.32563867697952564,0.6743613230204744,0
0.7931142837499272,0.20688571625007282,0
0.6125953769501897,0.3874046230498102,0
0.18937087819435217,0.8106291218056478,0
0.38289832078682207,0.6171016792131779,0
0.634385971961225,0.36561402803877496,0
0.604308874273288,0.395691125726712,0
0.7109858707818588,0.2890141292181411,0
0.6516242795830958,0.3483757204169042,0
0.8797659243646581,0.12023407563534191,0
