,result
0,0.517577990428625
1,0.7508595443435598
2,0.507145363938539
3,0.5709236581217078
4,0.7657798406081766
5,0.7741548298640876
6,0.49365941019554177
7,0.7390197411699737
8,0.7076355264463376
9,0.6647357374945452
10,0.6428948625967335
11,0.5901726357743909
12,0.5331401556220419
13,0.628599406163567
14,0.7307032703015719
15,0.6923407692713663
16,0.6698772793744083
17,0.40588986263274845
18,0.717109775572454
19,0.6184783763069456
20,0.6388391282000948
21,0.7307032703015719
22,0.6062406527013174
23,0.7451229564445905
24,0.7626565166856155
25,0.6459260753008
26,0.5102170741191087
27,0.8453213447170751
28,0.6887216769303398
29,0.5733956771642399
30,0.7694996211535328
31,0.7166919622183555
32,0.8519322626608982
33,0.7054640473979751
34,0.7809889104302556
35,0.6122218509969876
36,0.796333915598416
37,0.719059585961181
38,0.7922647291031446
39,0.8548031283414582
40,0.7800399545655166
41,0.7174929177590764
42,0.5087165316084682
43,0.6321530806700546
44,0.5836138426558486
45,0.7085057369758564
46,0.6732451196356584
47,0.39090532351647206
48,0.6414789884246868
49,0.5912178090572598
50,0.7005642616236473
51,0.764779767425942
52,0.7301283536538636
53,0.585606912054314
54,0.6959935286652496
55,0.7036860717342577
56,0.8980779547288936
57,0.643031234465474
58,0.7372307431449113
59,0.6729839480802483
60,0.6641701519679118
61,0.7692078485865577
62,0.6243799891951455
63,0.6297703111576481
64,0.6855370262317337
65,0.6826983853701227
66,0.7129623419111201
67,0.640869736977093
68,0.6778217750100306
69,0.6303524767712807
70,0.6493856489382546
71,0.4875610012473659
72,0.7082546707999473
73,0.8462293253415692
74,0.6518199580562345
75,0.7109809461404447
76,0.5636193246186657
77,0.5185366421336434
78,0.8279331130179669
79,0.713412686333683
80,0.5159166580545712
81,0.5070949686292316
82,0.6778217750100306
83,0.6991559642975922
84,0.4875610012473659
85,0.6269620286145633
86,0.8912475333370788
87,0.8046379962581492
88,0.8548031283414582
89,0.5884937888490079
90,0.4521658056540624
91,0.6816826199942264
92,0.740953468983907
93,0.7493962114834309
94,0.817991890876917
95,0.6927170166436277
96,0.7852166189685611
97,0.6027901623365329
98,0.4132056307562401
99,0.5983952313026513
100,0.6998842198136351
101,0.8048277654204452
102,0.6723912500042739
103,0.6368030667868828
104,0.756473999857937
105,0.7529456591136479
106,0.8251093863499174
107,0.4886133151449925
108,0.6976154626830333
109,0.46910400405368113
110,0.8508796266246462
111,0.5936493764637563
112,0.5250940976437293
113,0.6196313312593673
114,0.8731080129407022
115,0.6795430279313075
116,0.701714584197008
117,0.7981213248566729
118,0.8365658179182177
119,0.5327165819540173
120,0.7057765529411121
121,0.6738411579138057
122,0.6081752995855225
123,0.7061356225245485
124,0.8548031283414582
125,0.7017809030852256
126,0.7834830744053773
127,0.6819706669609014
128,0.6343151765754531
129,0.6854536543498997
130,0.521700134805152
131,0.8241037174322995
132,0.6276753819352603
133,0.7545053905285308
134,0.6372447020157328
135,0.6982230087796755
136,0.8142018117568367
137,0.7332325293650716
138,0.7082546707999473
139,0.7317009862541823
140,0.6553703583976974
141,0.5897729117967417
142,0.7307032703015719
143,0.622429304957455
144,0.6245201341889121
145,0.5838673715299797
146,0.760221671850557
147,0.6979708721156088
148,0.7146134013829142
149,0.6723313953059411
150,0.7566373200690236
151,0.7789222002389944
152,0.7775315693789826
153,0.7881835823412701
154,0.4097051915007936
155,0.6521681034210196
156,0.6222627765489566
157,0.6021352518222094
158,0.5472359581333307
159,0.7438454063819422
160,0.8320599253344474
161,0.6279446497161133
162,0.900930615743952
163,0.8698183198499134
164,0.854926629978951
165,0.8475494298568439
166,0.750443791125942
167,0.8159802208973459
168,0.5972984243905204
169,0.7007345768456601
170,0.7596953475542046
